"","...1","Invoice","StockCode","Description","Quantity","InvoiceDate","Price","Customer.ID","Country","Revenue","dayDifference","month","week","year","day","weekday"
"1363",1363,576137,"82494L","WOODEN FRAME ANTIQUE WHITE",48,2011-11-14,2.55,"15482","United Kingdom",122.4,5100,"Nov",46,2011,14,"Monday"
"1364",1364,569223,"21504","SKULLS GREETING CARD",12,2011-10-02,0.42,"16283","United Kingdom",5.04,5143,"Oct",40,2011,2,"Sunday"
"1365",1365,569900,"21015","DARK BIRD HOUSE TREE DECORATION",24,2011-10-06,0.29,"17651","United Kingdom",6.96,5139,"Oct",40,2011,6,"Thursday"
"1366",1366,552880,"22714","CARD BIRTHDAY COWBOY",12,2011-05-12,0.42,"18245","United Kingdom",5.04,5286,"May",19,2011,12,"Thursday"
"1367",1367,506136,"21550","CERAMIC BIRDHOUSE CRESTED TIT LARGE",12,2010-04-27,5.45,"14882","United Kingdom",65.4,5666,"Apr",17,2010,27,"Tuesday"
"1368",1368,515588,"84991","60 TEATIME FAIRY CAKE CASES",24,2010-07-13,0.55,"14156","EIRE",13.2,5589,"Jul",28,2010,13,"Tuesday"
"1369",1369,578999,"20769","DAISY JOURNAL",1,2011-11-27,2.55,"17595","United Kingdom",2.55,5087,"Nov",48,2011,27,"Sunday"
"1370",1370,543977,"22265","EASTER DECORATION NATURAL CHICK",24,2011-02-14,0.65,"15615","United Kingdom",15.6,5373,"Feb",7,2011,14,"Monday"
"1371",1371,525857,"20774","GREEN FERN NOTEBOOK",2,2010-10-07,1.65,"17860","United Kingdom",3.3,5503,"Oct",40,2010,7,"Thursday"
"1372",1372,527950,"21976","PACK OF 60 MUSHROOM CAKE CASES",2,2010-10-19,0.55,"16795","United Kingdom",1.1,5491,"Oct",42,2010,19,"Tuesday"
"1373",1373,522904,"20718","RED SPOTTY SHOPPER BAG",3,2010-09-17,1.25,"17765","United Kingdom",3.75,5523,"Sep",38,2010,17,"Friday"
"1374",1374,553838,"79030G","TUMBLER NEW ENGLAND",24,2011-05-19,0.39,"12620","France",9.36,5279,"May",20,2011,19,"Thursday"
"1375",1375,511051,"21626","VINTAGE UNION JACK PENNANT",1,2010-06-06,1.95,"12911","United Kingdom",1.95,5626,"Jun",23,2010,6,"Sunday"
"1376",1376,576328,"23085","ANTIQUE SILVER BAUBLE LAMP",12,2011-11-14,8.25,"13577","United Kingdom",99,5100,"Nov",46,2011,14,"Monday"
"1377",1377,525297,"22470","HEART OF WICKER LARGE",24,2010-10-05,2.95,"13715","United Kingdom",70.8,5505,"Oct",40,2010,5,"Tuesday"
"1378",1378,541564,"21465","PINK FLOWER CROCHET FOOD COVER",1,2011-01-19,3.75,"16904","United Kingdom",3.75,5399,"Jan",3,2011,19,"Wednesday"
"1379",1379,544893,"22923","FRIDGE MAGNETS LES ENFANTS ASSORTED",12,2011-02-24,0.85,"17865","United Kingdom",10.2,5363,"Feb",8,2011,24,"Thursday"
"1380",1380,511105,"21122","SET/10 PINK SPOTTY PARTY CANDLES",24,2010-06-07,1.25,"13815","Germany",30,5625,"Jun",23,2010,7,"Monday"
"1381",1381,578515,"22599","CHRISTMAS MUSICAL ZINC STAR",2,2011-11-24,0.29,"16885","United Kingdom",0.58,5090,"Nov",47,2011,24,"Thursday"
"1382",1382,520874,"82001S","VINYL RECORD FRAME SILVER",4,2010-08-31,3.75,"14543","United Kingdom",15,5540,"Aug",35,2010,31,"Tuesday"
"1383",1383,567873,"23273","HEART T-LIGHT HOLDER WILLIE WINKIE",12,2011-09-22,1.65,"13055","United Kingdom",19.8,5153,"Sep",38,2011,22,"Thursday"
"1384",1384,558888,"23251","VINTAGE RED ENAMEL TRIM MUG",4,2011-07-04,1.25,"14056","United Kingdom",5,5233,"Jul",27,2011,4,"Monday"
"1385",1385,579870,"84279P","CHERRY BLOSSOM  DECORATIVE FLASK",4,2011-11-30,3.75,"12437","France",15,5084,"Nov",48,2011,30,"Wednesday"
"1386",1386,496086,"21125","SET 6 FOOTBALL CELEBRATION CANDLES",3,2010-01-28,1.25,"15861","United Kingdom",3.75,5755,"Jan",4,2010,28,"Thursday"
"1387",1387,511638,"21231","SWEETHEART CERAMIC TRINKET BOX",1,2010-06-09,1.25,"17346","United Kingdom",1.25,5623,"Jun",23,2010,9,"Wednesday"
"1388",1388,537653,"22428","ENAMEL FIRE BUCKET CREAM",1,2010-12-07,6.95,"17897","United Kingdom",6.95,5442,"Dec",49,2010,7,"Tuesday"
"1389",1389,545180,"22748","POPPY'S PLAYHOUSE KITCHEN",6,2011-02-28,2.1,"12728","France",12.6,5359,"Feb",9,2011,28,"Monday"
"1390",1390,501847,"22241","GARLAND WOODEN HAPPY EASTER",8,2010-03-21,1.25,"17243","United Kingdom",10,5703,"Mar",12,2010,21,"Sunday"
"1391",1391,523805,"22508","DOORSTOP RETROSPOT HEART",1,2010-09-24,3.75,"14527","United Kingdom",3.75,5516,"Sep",39,2010,24,"Friday"
"1392",1392,496075,"90209C","PINK ENAMEL+GLASS HAIR COMB",6,2010-01-28,2.1,"13174","United Kingdom",12.6,5755,"Jan",4,2010,28,"Thursday"
"1393",1393,511096,"21498","RED SPOTS  WRAP",25,2010-06-06,0.42,"12682","France",10.5,5626,"Jun",23,2010,6,"Sunday"
"1394",1394,542864,"84596F","SMALL MARSHMALLOWS PINK BOWL",8,2011-02-01,1.25,"13802","United Kingdom",10,5386,"Feb",5,2011,1,"Tuesday"
"1395",1395,519208,"21929","JUMBO BAG PINK VINTAGE PAISLEY",200,2010-08-15,1.65,"15769","United Kingdom",330,5556,"Aug",33,2010,15,"Sunday"
"1396",1396,570019,"23394","POSTE FRANCE CUSHION COVER",2,2011-10-07,3.75,"17841","United Kingdom",7.5,5138,"Oct",40,2011,7,"Friday"
"1397",1397,581310,"23343","JUMBO BAG VINTAGE CHRISTMAS",2,2011-12-08,2.08,"16442","United Kingdom",4.16,5076,"Dec",49,2011,8,"Thursday"
"1398",1398,535091,"85049G","CHOCOLATE BOX RIBBONS",12,2010-11-25,1.25,"14304","United Kingdom",15,5454,"Nov",47,2010,25,"Thursday"
"1399",1399,571058,"23170","REGENCY TEA PLATE ROSES",12,2011-10-13,1.65,"13853","United Kingdom",19.8,5132,"Oct",41,2011,13,"Thursday"
"1400",1400,546419,"21382","SET/4 SPRING FLOWER DECORATION",1,2011-03-13,2.95,"16693","United Kingdom",2.95,5346,"Mar",11,2011,13,"Sunday"
"1401",1401,568173,"21791","VINTAGE HEADS AND TAILS CARD GAME",12,2011-09-25,1.25,"16187","United Kingdom",15,5150,"Sep",39,2011,25,"Sunday"
"1402",1402,560035,"23143","ZINC WIRE KITCHEN ORGANISER",3,2011-07-14,10.4,"17706","United Kingdom",31.2,5223,"Jul",28,2011,14,"Thursday"
"1403",1403,535271,"22443","GROW YOUR OWN HERBS SET OF 3",1,2010-11-25,7.95,"15967","United Kingdom",7.95,5454,"Nov",47,2010,25,"Thursday"
"1404",1404,494154,"21411","GINGHAM HEART  DOORSTOP RED",6,2010-01-11,4.25,"17188","United Kingdom",25.5,5772,"Jan",2,2010,11,"Monday"
"1405",1405,525289,"22103","MIRROR MOSAIC T-LIGHT HOLDER ROUND",12,2010-10-05,1.65,"14169","United Kingdom",19.8,5505,"Oct",40,2010,5,"Tuesday"
"1406",1406,489784,"22346","PARTY PIZZA DISH GREEN+WHITE SPOT",12,2009-12-02,0.85,"13269","United Kingdom",10.2,5812,"Dec",48,2009,2,"Wednesday"
"1407",1407,500655,"22386","JUMBO BAG PINK WITH WHITE SPOTS",100,2010-03-09,1.65,"16525","United Kingdom",165,5715,"Mar",10,2010,9,"Tuesday"
"1408",1408,503956,"35911B","PINK/FLOWER RABBIT EGG WARMER",1,2010-04-08,2.1,"13443","United Kingdom",2.1,5685,"Apr",14,2010,8,"Thursday"
"1409",1409,521938,"18097C","WHITE TALL PORCELAIN T-LIGHT HOLDER",6,2010-09-09,2.55,"18255","United Kingdom",15.3,5531,"Sep",36,2010,9,"Thursday"
"1410",1410,508098,"22220","CAKE STAND LOVEBIRD 2 TIER WHITE",12,2010-05-13,8.5,"14156","EIRE",102,5650,"May",19,2010,13,"Thursday"
"1411",1411,576362,"22294","HEART FILIGREE DOVE  SMALL",24,2011-11-14,1.25,"14755","United Kingdom",30,5100,"Nov",46,2011,14,"Monday"
"1412",1412,495507,"21388","IVORY HANGING DECORATION  CHICKEN",12,2010-01-25,0.85,"14514","United Kingdom",10.2,5758,"Jan",4,2010,25,"Monday"
"1413",1413,541269,"22139","RETROSPOT TEA SET CERAMIC 11 PC",3,2011-01-17,4.95,"12626","Germany",14.85,5401,"Jan",3,2011,17,"Monday"
"1414",1414,497240,"85206B","PINK FELT EASTER EGG BASKET",5,2010-02-08,1.65,"16161","United Kingdom",8.25,5744,"Feb",6,2010,8,"Monday"
"1415",1415,554016,"22977","DOLLY GIRL CHILDRENS EGG CUP",6,2011-05-20,1.25,"13243","United Kingdom",7.5,5278,"May",20,2011,20,"Friday"
"1416",1416,569246,"22379","RECYCLING BAG RETROSPOT",1,2011-10-03,4.13,"14096","United Kingdom",4.13,5142,"Oct",40,2011,3,"Monday"
"1417",1417,510805,"21992","VINTAGE PAISLEY STATIONERY SET",1,2010-06-03,2.95,"16798","United Kingdom",2.95,5629,"Jun",22,2010,3,"Thursday"
"1418",1418,566290,"22147","FELTCRAFT BUTTERFLY HEARTS",2,2011-09-11,1.45,"14456","United Kingdom",2.9,5164,"Sep",37,2011,11,"Sunday"
"1419",1419,549115,"20725","LUNCH BAG RED RETROSPOT",24,2011-04-06,1.65,"13098","United Kingdom",39.6,5322,"Apr",14,2011,6,"Wednesday"
"1420",1420,579432,"23031","DRAWER KNOB CRACKLE GLAZE PINK",12,2011-11-29,1.65,"15311","United Kingdom",19.8,5085,"Nov",48,2011,29,"Tuesday"
"1421",1421,570679,"21754","HOME BUILDING BLOCK WORD",3,2011-10-11,6.25,"17769","United Kingdom",18.75,5134,"Oct",41,2011,11,"Tuesday"
"1422",1422,536808,"84029E","RED WOOLLY HOTTIE WHITE HEART.",4,2010-12-02,3.75,"17659","United Kingdom",15,5447,"Dec",48,2010,2,"Thursday"
"1423",1423,573415,"22158","3 HEARTS HANGING DECORATION RUSTIC",8,2011-10-30,2.95,"13607","United Kingdom",23.6,5115,"Oct",44,2011,30,"Sunday"
"1424",1424,528329,"21107","CREAM SLICE FLANNEL PINK SPOT",1,2010-10-21,2.95,"13891","United Kingdom",2.95,5489,"Oct",42,2010,21,"Thursday"
"1425",1425,507622,"22518","CHILDS GARDEN BRUSH BLUE",1,2010-05-10,2.1,"17579","United Kingdom",2.1,5653,"May",19,2010,10,"Monday"
"1426",1426,516131,"20685","DOORMAT RED SPOT",20,2010-07-16,6.35,"12709","Germany",127,5586,"Jul",29,2010,16,"Friday"
"1427",1427,576339,"21703","BAG 125g SWIRLY MARBLES",10,2011-11-14,0.83,"14096","United Kingdom",8.3,5100,"Nov",46,2011,14,"Monday"
"1428",1428,522068,"21314","SMALL GLASS HEART TRINKET POT",4,2010-09-10,2.1,"16549","United Kingdom",8.4,5530,"Sep",37,2010,10,"Friday"
"1429",1429,563756,"23184","BULL DOG BOTTLE OPENER",4,2011-08-19,4.95,"12418","Switzerland",19.8,5187,"Aug",33,2011,19,"Friday"
"1430",1430,526276,"16161P","WRAP ENGLISH ROSE",25,2010-10-11,0.42,"14756","United Kingdom",10.5,5499,"Oct",41,2010,11,"Monday"
"1431",1431,581187,"22727","ALARM CLOCK BAKELIKE RED",12,2011-12-07,3.75,"13756","United Kingdom",45,5077,"Dec",49,2011,7,"Wednesday"
"1432",1432,519694,"85014B","RED/WHITE DOTS RUFFLED UMBRELLA",6,2010-08-19,5.95,"13089","United Kingdom",35.7,5552,"Aug",33,2010,19,"Thursday"
"1433",1433,553197,"23002","TRAVEL CARD WALLET SKULLS",1,2011-05-15,0.42,"17263","United Kingdom",0.42,5283,"May",20,2011,15,"Sunday"
"1434",1434,518497,"22198","LARGE POPCORN HOLDER",100,2010-08-09,1.45,"14911","EIRE",145,5562,"Aug",32,2010,9,"Monday"
"1435",1435,498579,"21791","VINTAGE HEADS AND TAILS CARD GAME",12,2010-02-21,1.25,"17332","United Kingdom",15,5731,"Feb",8,2010,21,"Sunday"
"1436",1436,546119,"22780","LIGHT GARLAND BUTTERFILES PINK",4,2011-03-09,4.25,"16945","United Kingdom",17,5350,"Mar",10,2011,9,"Wednesday"
"1437",1437,548865,"85123A","WHITE HANGING HEART T-LIGHT HOLDER",6,2011-04-04,2.95,"14747","United Kingdom",17.7,5324,"Apr",14,2011,4,"Monday"
"1438",1438,574883,"22818","CARD CHRISTMAS VILLAGE",12,2011-11-07,0.42,"14623","United Kingdom",5.04,5107,"Nov",45,2011,7,"Monday"
"1439",1439,556828,"22908","PACK OF 20 NAPKINS RED APPLES",3,2011-06-15,0.85,"17284","United Kingdom",2.55,5252,"Jun",24,2011,15,"Wednesday"
"1440",1440,570111,"21116","OWL DOORSTOP",1,2011-10-07,4.95,"15005","United Kingdom",4.95,5138,"Oct",40,2011,7,"Friday"
"1441",1441,522739,"21947","SET OF 6 HEART CHOPSTICKS",2,2010-09-16,1.25,"14963","United Kingdom",2.5,5524,"Sep",37,2010,16,"Thursday"
"1442",1442,569213,"23298","SPOTTY BUNTING",2,2011-10-02,4.95,"13782","United Kingdom",9.9,5143,"Oct",40,2011,2,"Sunday"
"1443",1443,490676,"79323W","WHITE CHERRY LIGHTS",4,2009-12-07,5.45,"17850","United Kingdom",21.8,5807,"Dec",49,2009,7,"Monday"
"1444",1444,570272,"23331","DECORATIVE WICKER HEART SMALL",48,2011-10-10,0.63,"14297","United Kingdom",30.24,5135,"Oct",41,2011,10,"Monday"
"1445",1445,506579,"21238","RED SPOTTY CUP",32,2010-04-30,0.85,"12374","Austria",27.2,5663,"Apr",18,2010,30,"Friday"
"1446",1446,549831,"22112","CHOCOLATE HOT WATER BOTTLE",3,2011-04-12,4.95,"14844","United Kingdom",14.85,5316,"Apr",15,2011,12,"Tuesday"
"1447",1447,529587,"22633","HAND WARMER UNION JACK",8,2010-10-28,2.1,"13780","United Kingdom",16.8,5482,"Oct",43,2010,28,"Thursday"
"1448",1448,534681,"82580","BATHROOM METAL SIGN",5,2010-11-23,0.55,"13451","United Kingdom",2.75,5456,"Nov",47,2010,23,"Tuesday"
"1449",1449,561056,"22650","CERAMIC PIRATE CHEST MONEY BANK",12,2011-07-24,1.45,"13477","United Kingdom",17.4,5213,"Jul",30,2011,24,"Sunday"
"1450",1450,507660,"22567","20 DOLLY PEGS RETROSPOT",1,2010-05-10,1.25,"12675","Italy",1.25,5653,"May",19,2010,10,"Monday"
"1451",1451,555553,"20675","BLUE POLKADOT BOWL",8,2011-06-05,1.25,"12662","Germany",10,5262,"Jun",23,2011,5,"Sunday"
"1452",1452,518400,"20961","STRAWBERRY BATH SPONGE",10,2010-08-08,1.25,"17050","United Kingdom",12.5,5563,"Aug",32,2010,8,"Sunday"
"1453",1453,540968,"75049L","LARGE CIRCULAR MIRROR MOBILE",3,2011-01-12,1.25,"17338","United Kingdom",3.75,5406,"Jan",2,2011,12,"Wednesday"
"1454",1454,517708,"21614","SET OF 12 ROSE BOTANICAL T-LIGHTS",4,2010-08-01,2.95,"17243","United Kingdom",11.8,5570,"Aug",31,2010,1,"Sunday"
"1455",1455,522975,"21143","ANTIQUE GLASS HEART DECORATION",1,2010-09-19,1.95,"16524","United Kingdom",1.95,5521,"Sep",38,2010,19,"Sunday"
"1456",1456,538626,"84991","60 TEATIME FAIRY CAKE CASES",6,2010-12-13,0.55,"17338","United Kingdom",3.3,5436,"Dec",50,2010,13,"Monday"
"1457",1457,490692,"22113","GREY HEART HOT WATER BOTTLE",2,2009-12-07,3.45,"16018","United Kingdom",6.9,5807,"Dec",49,2009,7,"Monday"
"1458",1458,554124,"90016A","SILVER/M.O.P PENDANT ORBIT NECKLACE",1,2011-05-23,8.5,"13339","United Kingdom",8.5,5275,"May",21,2011,23,"Monday"
"1459",1459,572203,"22995","TRAVEL CARD WALLET SUKI",24,2011-10-21,0.42,"17068","United Kingdom",10.08,5124,"Oct",42,2011,21,"Friday"
"1460",1460,562528,"23008","DOLLY GIRL BABY GIFT SET",1,2011-08-05,16.95,"12610","Italy",16.95,5201,"Aug",31,2011,5,"Friday"
"1461",1461,538827,"47504K","ENGLISH ROSE GARDEN SECATEURS",24,2010-12-14,0.85,"14298","United Kingdom",20.4,5435,"Dec",50,2010,14,"Tuesday"
"1462",1462,492003,"21035","SET/2 RED SPOTTY TEA TOWELS",6,2009-12-15,2.95,"15039","United Kingdom",17.7,5799,"Dec",50,2009,15,"Tuesday"
"1463",1463,519614,"20977","36 PENCILS TUBE WOODLAND",16,2010-08-19,1.25,"14911","EIRE",20,5552,"Aug",33,2010,19,"Thursday"
"1464",1464,522975,"72816","SET/3 CHRISTMAS DECOUPAGE CANDLES",2,2010-09-19,1.25,"16524","United Kingdom",2.5,5521,"Sep",38,2010,19,"Sunday"
"1465",1465,506100,"20659","ECONOMY LUGGAGE TAG",6,2010-04-27,1.25,"16749","United Kingdom",7.5,5666,"Apr",17,2010,27,"Tuesday"
"1466",1466,566085,"22222","CAKE PLATE LOVEBIRD WHITE",1,2011-09-09,4.95,"17841","United Kingdom",4.95,5166,"Sep",36,2011,9,"Friday"
"1467",1467,579393,"23204","CHARLOTTE BAG APPLES DESIGN",10,2011-11-29,0.85,"12627","Germany",8.5,5085,"Nov",48,2011,29,"Tuesday"
"1468",1468,574701,"23395","BELLE JARDINIERE CUSHION COVER",1,2011-11-06,3.75,"15426","United Kingdom",3.75,5108,"Nov",45,2011,6,"Sunday"
"1469",1469,570672,"22320","BIRDS MOBILE VINTAGE DESIGN",3,2011-10-11,5.95,"12536","France",17.85,5134,"Oct",41,2011,11,"Tuesday"
"1470",1470,514676,"22133","PINK LOVE HEART SHAPE CUP",2,2010-07-05,0.85,"14606","United Kingdom",1.7,5597,"Jul",27,2010,5,"Monday"
"1471",1471,575220,"23199","JUMBO BAG APPLES",100,2011-11-09,1.79,"17511","United Kingdom",179,5105,"Nov",45,2011,9,"Wednesday"
"1472",1472,495390,"21588","RETRO SPOT GIANT  TUBE MATCHES",2,2010-01-24,2.55,"17142","United Kingdom",5.1,5759,"Jan",4,2010,24,"Sunday"
"1473",1473,502363,"21916","SET 12 RETRO WHITE CHALK STICKS",1,2010-03-24,0.42,"14606","United Kingdom",0.42,5700,"Mar",12,2010,24,"Wednesday"
"1474",1474,519401,"82582","AREA PATROLLED METAL SIGN",12,2010-08-16,2.1,"13564","United Kingdom",25.2,5555,"Aug",33,2010,16,"Monday"
"1475",1475,509198,"22053","EMPIRE DESIGN ROSETTE",10,2010-05-21,1.25,"14156","EIRE",12.5,5642,"May",21,2010,21,"Friday"
"1476",1476,530575,"47559B","TEA TIME OVEN GLOVE",3,2010-11-03,1.25,"16033","United Kingdom",3.75,5476,"Nov",44,2010,3,"Wednesday"
"1477",1477,557676,"22045","SPACEBOY GIFT WRAP",25,2011-06-22,0.42,"15804","United Kingdom",10.5,5245,"Jun",25,2011,22,"Wednesday"
"1478",1478,568228,"22029","SPACEBOY BIRTHDAY CARD",12,2011-09-26,0.42,"15358","United Kingdom",5.04,5149,"Sep",39,2011,26,"Monday"
"1479",1479,516156,"21528","DAIRY MAID TRADITIONAL TEAPOT",2,2010-07-18,6.95,"14205","United Kingdom",13.9,5584,"Jul",29,2010,18,"Sunday"
"1480",1480,538040,"22926","IVORY GIANT GARDEN THERMOMETER",1,2010-12-09,5.95,"16520","United Kingdom",5.95,5440,"Dec",49,2010,9,"Thursday"
"1481",1481,574575,"85183A","CHARLIE & LOLA WASTEPAPER BIN BLUE",5,2011-11-04,1.25,"14971","United Kingdom",6.25,5110,"Nov",44,2011,4,"Friday"
"1482",1482,567339,"23295","SET OF 12 MINI LOAF BAKING CASES",8,2011-09-19,0.83,"14146","United Kingdom",6.64,5156,"Sep",38,2011,19,"Monday"
"1483",1483,536412,"22273","FELTCRAFT DOLL MOLLY",1,2010-12-01,2.95,"17920","United Kingdom",2.95,5448,"Dec",48,2010,1,"Wednesday"
"1484",1484,499381,"22197","SMALL POPCORN HOLDER",4,2010-02-26,0.85,"16913","United Kingdom",3.4,5726,"Feb",9,2010,26,"Friday"
"1485",1485,496221,"82580","BATHROOM METAL SIGN",6,2010-01-29,0.55,"17191","United Kingdom",3.3,5754,"Jan",5,2010,29,"Friday"
"1486",1486,542258,"22399","MAGNETS PACK OF 4 CHILDHOOD MEMORY",1,2011-01-26,1.25,"17372","United Kingdom",1.25,5392,"Jan",4,2011,26,"Wednesday"
"1487",1487,547108,"84991","60 TEATIME FAIRY CAKE CASES",6,2011-03-21,0.55,"14659","United Kingdom",3.3,5338,"Mar",12,2011,21,"Monday"
"1488",1488,568062,"22579","WOODEN TREE CHRISTMAS SCANDINAVIAN",48,2011-09-23,0.29,"14014","United Kingdom",13.92,5152,"Sep",38,2011,23,"Friday"
"1489",1489,537447,"22570","FELTCRAFT CUSHION RABBIT",8,2010-12-07,3.75,"13963","United Kingdom",30,5442,"Dec",49,2010,7,"Tuesday"
"1490",1490,535788,"21982","PACK OF 12 SUKI TISSUES",12,2010-11-28,0.29,"16595","United Kingdom",3.48,5451,"Nov",48,2010,28,"Sunday"
"1491",1491,571312,"22992","REVOLVER WOODEN RULER",12,2011-10-17,1.95,"12474","Germany",23.4,5128,"Oct",42,2011,17,"Monday"
"1492",1492,490711,"85132C","CHARLIE AND LOLA FIGURES TINS",1,2009-12-07,9.95,"17841","United Kingdom",9.95,5807,"Dec",49,2009,7,"Monday"
"1493",1493,507148,"35832","WOOLLY HAT SOCK GLOVE ADVENT STRING",3,2010-05-06,5.95,"12388","Australia",17.85,5657,"May",18,2010,6,"Thursday"
"1494",1494,563940,"23203","JUMBO BAG VINTAGE DOILY",10,2011-08-22,2.08,"17416","United Kingdom",20.8,5184,"Aug",34,2011,22,"Monday"
"1495",1495,493536,"20753","RETRO PINK SPOT WASHING UP GLOVES",1,2010-01-04,2.1,"17841","United Kingdom",2.1,5779,"Jan",1,2010,4,"Monday"
"1496",1496,517307,"84029G","KNITTED UNION FLAG HOT WATER BOTTLE",4,2010-07-28,3.75,"15182","United Kingdom",15,5574,"Jul",30,2010,28,"Wednesday"
"1497",1497,492579,"72781","BLACK SILOUETTE CANDLE PLATE",1,2009-12-17,2.1,"15311","United Kingdom",2.1,5797,"Dec",51,2009,17,"Thursday"
"1498",1498,505548,"85062","PEARL CRYSTAL PUMPKIN T-LIGHT HLDR",6,2010-04-22,1.65,"14525","United Kingdom",9.9,5671,"Apr",16,2010,22,"Thursday"
"1499",1499,576396,"84947","ANTIQUE SILVER TEA GLASS ENGRAVED",12,2011-11-15,1.25,"16164","United Kingdom",15,5099,"Nov",46,2011,15,"Tuesday"
"1500",1500,555896,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",24,2011-06-07,0.55,"15640","United Kingdom",13.2,5260,"Jun",23,2011,7,"Tuesday"
"1501",1501,558232,"22980","PANTRY SCRUBBING BRUSH",4,2011-06-27,1.65,"17841","United Kingdom",6.6,5240,"Jun",26,2011,27,"Monday"
"1502",1502,504472,"22423","REGENCY CAKESTAND 3 TIER",16,2010-04-14,10.95,"15497","United Kingdom",175.2,5679,"Apr",15,2010,14,"Wednesday"
"1503",1503,554283,"21122","SET/10 PINK POLKADOT PARTY CANDLES",24,2011-05-23,1.25,"17686","United Kingdom",30,5275,"May",21,2011,23,"Monday"
"1504",1504,520516,"22692","DOORMAT WELCOME TO OUR HOME",2,2010-08-26,7.49,"16242","United Kingdom",14.98,5545,"Aug",34,2010,26,"Thursday"
"1505",1505,512292,"21318","GLASS CHALICE BLUE SMALL",6,2010-06-14,1.65,"16500","United Kingdom",9.9,5618,"Jun",24,2010,14,"Monday"
"1506",1506,547548,"22666","RECIPE BOX PANTRY YELLOW DESIGN",2,2011-03-23,2.95,"15644","United Kingdom",5.9,5336,"Mar",12,2011,23,"Wednesday"
"1507",1507,501030,"72802A","ROSE SCENT CANDLE IN JEWELLED BOX",6,2010-03-11,3.81,"17448","United Kingdom",22.86,5713,"Mar",10,2010,11,"Thursday"
"1508",1508,495546,"85231L","LAVENDER SCENTED SET/9 T-LIGHTS",10,2010-01-25,0.85,"13206","United Kingdom",8.5,5758,"Jan",4,2010,25,"Monday"
"1509",1509,520214,"21153","RED SPOTTY TABLECLOTH",4,2010-08-25,10.65,"14895","United Kingdom",42.6,5546,"Aug",34,2010,25,"Wednesday"
"1510",1510,518663,"22588","CARD HOLDER GINGHAM HEART",1,2010-08-10,2.55,"14044","United Kingdom",2.55,5561,"Aug",32,2010,10,"Tuesday"
"1511",1511,510088,"22326","ROUND SNACK BOXES SET OF4 WOODLAND",1,2010-05-27,2.95,"16391","United Kingdom",2.95,5636,"May",21,2010,27,"Thursday"
"1512",1512,542932,"84879","ASSORTED COLOUR BIRD ORNAMENT",32,2011-02-02,1.69,"13089","United Kingdom",54.08,5385,"Feb",5,2011,2,"Wednesday"
"1513",1513,564742,"21155","RED RETROSPOT PEG BAG",1,2011-08-28,2.55,"17346","United Kingdom",2.55,5178,"Aug",35,2011,28,"Sunday"
"1514",1514,502733,"22382","LUNCH BAG SPACEBOY DESIGN",2,2010-03-26,1.65,"15911","United Kingdom",3.3,5698,"Mar",13,2010,26,"Friday"
"1515",1515,555566,"20727","LUNCH BAG  BLACK SKULL.",3,2011-06-05,1.65,"14659","United Kingdom",4.95,5262,"Jun",23,2011,5,"Sunday"
"1516",1516,555695,"22699","ROSES REGENCY TEACUP AND SAUCER",6,2011-06-06,2.95,"16168","United Kingdom",17.7,5261,"Jun",23,2011,6,"Monday"
"1517",1517,522090,"21533","RETRO SPOT LARGE MILK JUG",1,2010-09-12,4.95,"16799","United Kingdom",4.95,5528,"Sep",37,2010,12,"Sunday"
"1518",1518,567849,"23353","6 GIFT TAGS VINTAGE CHRISTMAS",3,2011-09-22,0.83,"15571","United Kingdom",2.49,5153,"Sep",38,2011,22,"Thursday"
"1519",1519,570876,"23118","PARISIENNE JEWELLERY DRAWER",2,2011-10-12,7.5,"16085","United Kingdom",15,5133,"Oct",41,2011,12,"Wednesday"
"1520",1520,577800,"23497","CLASSIC CHROME BICYCLE BELL",48,2011-11-21,1.25,"15484","United Kingdom",60,5093,"Nov",47,2011,21,"Monday"
"1521",1521,550255,"48185","DOORMAT FAIRY CAKE",4,2011-04-15,7.95,"13468","United Kingdom",31.8,5313,"Apr",15,2011,15,"Friday"
"1522",1522,490989,"84050","PINK HEART SHAPE EGG FRYING PAN",6,2009-12-08,1.65,"15674","United Kingdom",9.9,5806,"Dec",49,2009,8,"Tuesday"
"1523",1523,580311,"22224","WHITE LOVEBIRD LANTERN",6,2011-12-02,2.95,"18245","United Kingdom",17.7,5082,"Dec",48,2011,2,"Friday"
"1524",1524,515703,"21899","KEY FOB , GARAGE DESIGN",1,2010-07-14,0.65,"14656","United Kingdom",0.65,5588,"Jul",28,2010,14,"Wednesday"
"1525",1525,557222,"22192","BLUE DINER WALL CLOCK",2,2011-06-17,8.5,"14936","Channel Islands",17,5250,"Jun",24,2011,17,"Friday"
"1526",1526,545906,"21844","RED RETROSPOT MUG",6,2011-03-08,2.95,"15764","United Kingdom",17.7,5351,"Mar",10,2011,8,"Tuesday"
"1527",1527,492781,"22179","SET 10 LIGHTS NIGHT OWL",12,2009-12-18,6.75,"14105","United Kingdom",81,5796,"Dec",51,2009,18,"Friday"
"1528",1528,526217,"35970","ZINC FOLKART SLEIGH BELLS",6,2010-10-10,1.69,"14390","United Kingdom",10.14,5500,"Oct",41,2010,10,"Sunday"
